index	branch	commit	recipe	metric	memory_gb	elapsed_min	status	description
1	autoresearch/2026-04-29-oapl-math/baseline	f0aabd1	examples/configs/evals/eval.yaml	0.100000	3.4	1.4	keep	Base eval: Qwen2.5-Math-1.5B-Instruct, AIME-2024 pass@1 3/30 at temp 0, 2048 tokens.
2	autoresearch/2026-04-29-oapl-math/base-oapl	f45e75a	examples/configs/oapl_qwen25_math_1p5b_dapo_10h.yaml	0.000000	0.0	2.0	crash	Launch failed before training: AutoModel CPU offload is unsupported on single GPU.
3	autoresearch/2026-04-29-oapl-math/base-oapl	b09d082	examples/configs/oapl_qwen25_math_1p5b_dapo_10h.yaml	0.000000	35.2	86.0	pivot	Stopped after step 10 validation: val accuracy 0/256, train reward density 2/10240, stable loss but too little learning signal.
4	autoresearch/2026-04-29-oapl-math/base-oapl	4246673	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_temp06_g64x16.yaml	0.000000	26.9	10.8	pivot	Stopped after step 1: val accuracy 0/256 and train reward density 0/1024; discovered Qwen default system prompt requested boxed answers while DAPO verifier requires final Answer line.
5	autoresearch/2026-04-29-oapl-math/base-oapl	1912b48	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_answerfmt_g64x16.yaml	0.000000	26.9	9.6	pivot	Stopped after step 1 and partial step 2: explicit Answer-format system prompt rendered correctly, but Qwen2.5-Math still outputs boxed answers, so DAPO verifier gives 0/1024 reward.
6	autoresearch/2026-04-29-oapl-math/base-oapl	f57fb10	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_hfverify_g64x16.yaml	0.062500	26.1	55.0	keep	HF math verifier accepts boxed Qwen answers; step 10 validation improved from 0.0508 to 0.0625, train reward remains dense at 219/1024 on step 10.
7	autoresearch/2026-04-29-oapl-math/base-oapl	ded9ba5	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_hfverify_g64x16.yaml	0.035156	26.1	117.0	pivot	Run stopped at step 21 because checkpoint_must_save_by triggered early-stop logic; step 20 validation fell to 0.0352 despite dense train reward, so next branch reduces OAPL policy lag.
8	autoresearch/2026-04-29-oapl-math/base-oapl	a56a952	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_hfverify_sync5_g64x16.yaml	0.058594	26.1	62.0	pivot	Step 10 validation improved from 0.0508 to 0.0586 and checkpoint saved, but it underperformed the sync10 step10 branch; next branch returns to sync10 and reduces LR for smoother updates.
9	autoresearch/2026-04-29-oapl-math/base-oapl	7b893fa	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_hfverify_lr25e8_g64x16.yaml	0.054688	26.1	62.0	pivot	Lower LR was stable but underperformed at step 10, improving only from 0.0508 to 0.0547; next branch restores original LR/sync10 while saving the step10 candidate.
10	autoresearch/2026-04-29-oapl-math/base-oapl	197fe7e	examples/configs/oapl_qwen25_math_1p5b_dapo_10h_hfverify_save10_g64x16.yaml	0.074219	26.1	166.0	keep	Reproduced original LR/sync10 and saved the best candidate at step 10: validation improved from 0.0508 to 0.0742; step 20 regressed to 0.0547 and step 30 recovered to 0.0625 before checkpoint save failed because /ephemeral filled.
